demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,667,820,272.5,0,0,1,1,2,120,-1,109,109,5,5361,2,756,
0,526,106,172.5,0,0,1,1,2,547,-1,436,69,34,40786,21,6827,
0,530,88,255,0,0,1,1,2,161,-1,102,102,4,4020,3,840,
0,401,231,442.5,0,0,1,1,2,153,-1,190,177,8,9237,2,677,
0,921,988,212.5,0,0,1,1,2,211,-1,392,85,33,39288,32,7373,
0,396,193,197.5,0,0,1,1,2,163,-1,79,79,8,9594,4,1371,
0,303,317,255,0,0,1,1,2,153,-1,275,102,7,10084,7,2315,
0,851,655,260,0,0,1,1,2,144,-1,184,104,13,19106,10,3453,
0,529,131,447.5,0,0,1,1,2,186,-1,183,179,9,9691,8,2231,
0,319,314,240,0,0,1,1,2,123,-1,155,96,6,6574,6,1441,
0,720,492,270,0,0,1,1,2,165,-1,108,108,13,15318,19,4091,
0,15,197,182.5,0,0,1,1,2,272,-1,403,73,9,11028,7,1628,
0,667,412,315,0,0,1,1,2,131,-1,365,126,19,24886,21,4426,
