demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,46,167,0,1012.5,0,1,1,2,0,457,405
0,49,172,0,1045,0,1,1,2,0,419,418
0,92,98,0,1242.5,0,1,1,2,0,727,497
0,83,85,0,290,0,1,1,2,0,116,116
0,149,126,0,1140,0,1,1,2,0,456,456
0,149,29,0,1240,0,1,1,2,0,496,496
0,181,166,0,415,0,1,1,2,0,231,166
0,134,192,0,845,0,1,1,2,0,560,338
0,110,125,0,1077.5,0,1,1,2,0,431,431
0,73,8,0,1217.5,0,1,1,2,0,682,487
0,168,178,0,1750,0,1,1,2,0,802,700
0,131,66,0,1890,0,1,1,2,0,919,756
0,140,100,0,787.5,0,1,1,2,0,354,315
0,141,21,0,1525,0,1,1,2,0,641,610
0,63,87,0,315,0,1,1,2,0,126,126
0,10,65,0,520,0,1,1,2,0,208,208
0,57,59,0,237.5,0,1,1,2,0,95,95
0,40,105,0,2212.5,0,1,1,2,0,987,885
0,158,79,0,497.5,0,1,1,2,0,199,199
0,190,66,0,2275,0,1,1,2,0,1233,910
0,8,142,0,510,0,1,1,2,0,204,204
0,51,145,0,1027.5,0,1,1,2,0,587,411
0,67,185,0,1485,0,1,1,2,0,690,594
0,141,178,0,1927.5,0,1,1,2,0,1018,771
0,69,17,0,800,0,1,1,2,0,353,320
0,142,194,0,302.5,0,1,1,2,0,121,121
0,196,77,0,677.5,0,1,1,2,0,355,271
0,19,95,0,947.5,0,1,1,2,0,379,379
0,177,117,0,2055,0,1,1,2,0,1085,822
0,72,196,0,467.5,0,1,1,2,0,226,187
