demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOpt,MinCostDelay,MinDelayDelay
0,4273,1016,140,0,0,1,1,2,71,-1,336,56,1,23164,1,8518,
0,389,4931,92.5,0,0,1,1,2,175,-1,436,37,1,19948,1,8401,
0,2630,4105,105,0,0,1,1,2,147,-1,493,42,1,20066,1,8299,
0,5922,2534,87.5,0,0,1,1,2,185,-1,424,35,1,20435,1,8469,
0,4499,3685,122.5,0,0,1,1,2,83,-1,214,49,1,19972,1,8217,
0,5815,3646,110,0,0,1,1,2,89,-1,245,44,1,19973,1,8133,
0,4654,4268,112.5,0,0,1,1,2,150,-1,547,45,1,20709,1,8914,
0,625,2757,92.5,0,0,1,1,2,74,-1,426,37,1,19703,1,8697,
0,1283,3846,100,0,0,1,1,2,115,-1,419,40,1,19953,1,8132,
0,2573,1165,87.5,0,0,1,1,2,53,-1,166,35,1,19884,1,9307,
0,3504,4939,127.5,0,0,1,1,2,97,-1,361,51,1,20827,1,8073,
0,4890,2681,87.5,0,0,1,1,2,164,-1,314,35,1,20170,1,8090,
0,994,5631,75,0,0,1,1,2,116,-1,193,30,1,20023,1,8355,
0,1964,3991,97.5,0,0,1,1,2,134,-1,403,39,1,19613,1,8111,
0,2096,385,110,0,0,1,1,2,81,-1,373,44,1,19969,1,8098,
0,1480,595,80,0,0,1,1,2,124,-1,196,32,1,19894,1,9312,
0,4070,1296,177.5,0,0,1,1,2,126,-1,204,71,1,22265,1,8101,
0,5916,5219,105,0,0,1,1,2,122,-1,310,42,1,20077,1,8126,
0,5833,1551,87.5,0,0,1,1,2,137,-1,317,35,1,19820,1,8654,
0,3068,921,125,0,0,1,1,2,133,-1,483,50,1,20581,1,8534,
0,1697,5101,117.5,0,0,1,1,2,100,-1,684,47,1,20001,1,8506,
0,5316,2941,107.5,0,0,1,1,2,107,-1,422,43,1,20148,1,9074,
